ID,NotebookName
0,eda-feature-eng-and-model-blending-top-20.ipynb
1,house-prices-eda.ipynb
2,guide-for-comprehensive-data-exploration-in-python.ipynb
3,beginner-s-stop-xgb-lgbm-blend.ipynb
4,ev-fiyatlar-n-n-tahmini.ipynb
5,pycaret-introduction-classification-regression.ipynb
6,predicting-house-prices-regression-techniques.ipynb
7,house-prize.ipynb
8,an-uncomplicated-model-top-2-or-top-1.ipynb
9,project-2-p1-eda.ipynb
10,useful-python-libraries-for-data-science.ipynb
11,a-study-on-regression-applied-to-the-ames-dataset.ipynb
12,top-7-using-elasticnet-with-interactions.ipynb
13,kaggle.ipynb
14,lasso-model-for-regression-problem.ipynb
15,how-i-made-top-0-3-on-a-kaggle-competition.ipynb
16,houseprice-data-cleaning-visualization.ipynb
17,journey-to-the-top-10.ipynb
18,house-price-competition.ipynb
19,a-reference-guide-to-feature-selection-methods.ipynb
20,guide-for-comprehensive-data-exploration-in-python (1).ipynb
21,houses.ipynb
22,house-price-calculation-methods-for-beginners.ipynb
23,filling-up-missing-values.ipynb
24,top-50-beginners-stacking-lgb-xgb.ipynb
25,getting-started-with-kaggle-explore-the-dataset.ipynb
26,all-you-need-is-pca-lb-0-11421-top-4.ipynb
27,1-house-prices-solution-top-1.ipynb
28,a-detailed-regression-guide-with-house-pricing.ipynb
29,simple-stacking-approach-top-12-score.ipynb
30,houseprice-end-to-end-project.ipynb
31,house-prices-advance-regression.ipynb
32,ensamble-methods-on-regression.ipynb
33,house-prices-eda-to-ml-beginner.ipynb
34,house-prices-prediction-playground.ipynb
35,houseprices-data-exploration-and-prediction.ipynb
36,house-price-some-of-regression-models.ipynb
37,applied-machine-learning.ipynb
38,eda-and-prediction-of-house-price.ipynb
39,houseprices-pipeline-featuretools-tpot.ipynb
40,13-simple-tips-to-save-ram-memory-for-1-gb-dataset.ipynb
41,house-price-prediction.ipynb
42,stacking-house-prices-walkthrough-to-top-5.ipynb
43,a-simple-tutorial-on-exploratory-data-analysis.ipynb
44,stacked-regressions-top-4-on-leaderboard.ipynb
45,predicting-house-prices-with-machine-learning.ipynb
46,finding-your-files-in-kaggle-kernels.ipynb
47,fun-python-eda-step-by-step.ipynb
48,simple-linear-regression-models.ipynb
49,house-prices-data-exploration-and-visualisation.ipynb
50,linear-regression-housing-prices.ipynb
51,welcome-to-data-science-in-r-workbook.ipynb
52,top-10-0-10943-stacking-mice-and-brutal-force.ipynb
53,neural-network-model-for-house-prices-tensorflow.ipynb
54,house-price-prediction-for-beginners.ipynb
55,data-exploration-and-prediction-of-house-price.ipynb
56,a-home-for-pandas-and-sklearn-beginner-how-tos.ipynb
57,house-prices-solution-beginner.ipynb
58,detailed-exploratory-data-analysis-with-python.ipynb
59,how-to-get-to-top-25-with-simple-model-sklearn.ipynb
60,pca-and-regression.ipynb
61,extensive-exploratory-data-analysis.ipynb
62,predicting-house-prices-with-regression.ipynb
63,houses-prices-complete-solution.ipynb
64,comprehensive-data-exploration-with-python.ipynb
65,introduction-to-inferential-statistics.ipynb
66,house-prices-solution-data-cleaning-ml.ipynb
67,top-2-of-leaderboard-advanced-fe.ipynb
68,kaggle-prediction-house-prices.ipynb
69,house-prices-begginer-top-7.ipynb
70,house-price-prediction-with-tuned-xgboost-model.ipynb
71,price-prediction-regularization-stacking.ipynb
72,weight-of-evidence-woe-information-value-iv.ipynb
73,regularized-linear-models.ipynb
74,predicting-housingprices-simple-approach.ipynb
75,tensorflow-tutorial-and-housing-price-prediction.ipynb
76,house-prices-solution-beginner (1).ipynb
77,reach-top-10-with-simple-model-on-housing-prices.ipynb
78,eda-introduction-to-ensemble-regression.ipynb
79,guide-on-hyperparameter-tuning-using-gridsearchcv.ipynb
80,simple-tutorial-on-model-prediction.ipynb
